ID	taskID	catalogNumber	country	eventDate	eventID	fieldNotes	fieldNumber	locationID	relatedResourceID	scientificName	stateProvince	transcriberNotes	validatorNotes	verbatimElevation	verbatimLatitude	verbatimLocality	verbatimLocalityID	verbatimLongitude	collector1	collector2	collector3	collector4
11	2647494	1187490	Costa Rica	1899-01-02		354409	13207			Passiflora quadrangularis	Cartago	Passiflora Quadrangularis \nn. v. granadilla\nCited in Killip Monograph\n\n		630 m		Turrialba			"Pittier, H."			
12	2647504	1187494	Panama	8/1/1967		2542181	7455			Passiflora quadrangularis	Chiriqui			ca. 1000 ft.		"Tole, vicinity of Santa Ana Well. Thicket on hillside paralleling brook."			"Dwyer, J. D. and Kirkbride, J. H. Jr."			
13	2647514	1187498	Panama	3/27/1974		2788295	10917			Passiflora quadrangularis	Colon		Additional ref. numbers on label are:\n17PP 334369\n     335369	more than 5 m.		"Along road to Portobelo, 2 km NE of Puerto Pilon."			"Nee, M. and Tyson, E."			
14	2647524	1193502	Costa Rica	1895-02		1360080	9325			Passiflora quadrangularis	Limón			100 m.		"Forets de Shirores, Talamanca."			"Tonduz, A. V."			
15	2647534	1193506	Costa Rica	1924-04-01/1924-04-03		1228899	40041			Passiflora quadrangularis	Alajuela			240 m.		El Coyolar [Coyolar]			"Standley, Paul C."			
16	2647544	1193510	Guatemala	1890-04		1419094	2088			Passiflora quadrangularis	Escuintla			1100 ft.		"Escuintla, Depart. Escuintla"			"Smith, John Donnell"			
17	2647554	1193514	Costa Rica	1899-04		1360081	13001			Passiflora quadrangularis	Cartago	"Location translates as \nBrush near Las Vueltas Tucurrique\n(two towns @ 3 km apart in Cartago, Costa Rica)"		635 m.		Broussailles a Las Vueltas \nTucurrique			"Tonduz, A. V."			
18	2647564	1193517	Panama	10/16/1922		1167325	s.n.			Passiflora quadrangularis		"checked date on high res. image.\nMore than one Colon, therefore could not determine Province."				Seeds of fruit from Colon market.			"Killip, Ellsworth, P."			
19	2647574	1193519	Guatemala	1893-09		1360084	6142			Passiflora quinquangularis	Santa Rosa	ex Herb. John Donnell Smith		2500 ft.		Cuajiniquilapa [Cuilapa]			"Heyde, E. T. and Lux, E."			
20	2647584	1193521	Guatemala	11/21/1940		1894028	77729			Passiflora quinquangularis	Santa Rosa			1100 - 1180 m.		Along road southeast of Barberena			"Standley, Paul C."			
21	2647594	1193523	Guatemala	4/22/1931		1492634	12691			Passiflora rovirosae	Peten					Uaxactun			"Bartlett, H. H."			
22	2647604	1193524	Belize	1931/1932		1589284	434			Passiflora rovirosae	Corozal	"Note that 'EPK 1934' is the determined by: initial and date, not collection date."							"Gentle, Percy H."			
23	2647614	1193525	Belize	1931/1932		1588163	434			Passiflora rovirosae	Corozal								"Gentle, Percy H."			
24	2647624	1193526	Mexico	1939-06-01/1939-06-06		1749418	3283			Passiflora rovirosae	Tabasco					"La Palma, Balancan."			"Matuda, E."			
25	2647634	1193527	Belize	1933-10		1587787	810			Passiflora rovirosae	Corozal					"Yucatan Peninsula\nCorozal District, British Honduras\nParaiso"			"Gentle, Percy"			
26	2647644	1193528	Belize	1931/1932		1588167	608			Passiflora rovirosae	Corozal	5/3/34 is Det. date (E.P. Killip)							"Gentle, Percy H."			
27	2647654	1193529	Nicaragua	3/12/1961		2542982	603			Passiflora seemannii	Atlántico Sur			150-200 m.		"Depto. [historical] Zelaya: ca. Yauyua, ca. 18 km SE of La Luz."			"Bunting, George S. and Licht, L."			
28	2647664	1193530	Panama	10/19/1940		1923479	1260			Passiflora seemannii	Bocas del Toro					Vicinity of Chiriqui Lagoon			"von Wedel, H."			
29	2647674	1193531	Panama	12/20/1946		2087076	3930			Passiflora seemannii	Colón					Canal Zone; Vicinity of Gamboa			"Allen, Paul H."			
30	2647684	1193532	Panama	11/18/1940		1862989	1679			Passiflora seemannii	Bocas del Toro					"Water Valley, vicinity of Chiriqui Lagoon."			"von Wedel, H."			
31	2647694	1193533	Panama	10/26/1940		1862918	1366			Passiflora seemannii	Bocas del Toro					Vicinity of Chiriqui Lagoon			"von Wedel, H."			
32	2647704	1193534	Panama	12/17/1923		1225428	27291			Passiflora seemannii	Colon					"Hills west of the Canal, near Gatun, Canal Zone."			"Standley, Paul C."			
33	2647714	1193535	Panama	1/11/1932		1544753	239			Passiflora seemannii			Unable to determine province			"Obispo, Canal Zone."			"Sammuels, Felix"			
34	2647724	1193536	Panama	1/7/1924		1225443	29838			Passiflora seemannii	Panama					"Open clay bank; East Paraiso, Canal Zone."			"Standley, Paul C."			
35	2647734	1193537	Panama	2/25/1905		677804	59			Passiflora seemannii	Colon					Between Mount Hope & Santa Rita Trail			"Cowell, J. F."			
36	2647744	1193538	Nicaragua			1496374	118			Passiflora seemannii	Atlantico Norte	Current name within []				Region of Braggman's Bluff [Bragman Bluff].			"Englesing, F. C."			
37	2647754	1193539	Mexico	1896-02-22		253545	3827			Passiflora seemannii	Chiapas	checked date on high res image		500-2000 ft.		Near Huehuetan			"Nelson, E. W."			
38	2647764	1193540	Panama	1923-12-07/1924-01-11		1225435	28179			Passiflora seemannii	Panama					Rio Tapia			"Standley, Paul C."			
39	2647774	1193541	Panama	1/29/1911		676744	2586			Passiflora seemannii	Panama			20 to 100 meters		"Valley of Masambi, on the road to Las Cascadas Plantation, Canal Zone;"			"Pittier, H."			
40	2647784	1193542	Panama	1/3/1911		676505	2195			Passiflora seemannii	Panama			20 - 30 meters		"Between Miraflores and Corozal, Canal Zone."			"Pittier, H."			
41	2647794	1193543	Panama	12/19/1923		1225431	27623			Passiflora seemannii	Colón	Unable to determine current province for Frijoles.	"Of the several States with a Frijoles listed in GeoNames only Colón is part of the ""Canal Zone."""			"Frijoles, Canal Zone"			"Standley, Paul C."			
42	2647804	1193544	Panama	12/28/1923		1225436	28684			Passiflora seemannii	Colon					"Near Fort Randolph, Canal Zone."			"Standley, Paul C."			
43	2647814	1193545	Panama	1/7/1924		1225444	29993			Passiflora seemannii	Panama	Unable to determine province.	"Province either Colon or Panama. Paraiso is listed in both, Rio Pedro Miguel only in Panama."			"Rio Pedro Miguel, near East Paraiso, Canal Zone."			"Standley, Paul C."			
44	2647824	1193546	Panama	1924-10		1208013	1153			Passiflora seemannii	Colon					Fort Lorenzo Trail.			"Stevens, F. L."			
45	2647834	1193547	Panama	12/26/1937		1689097	42			Passiflora seemannii	Panama					"Canal Zone, Miraflores, on shaded lake bank."			"White, Peggy and White, Gene"			
46	2647844	1193548	Mexico	7/5/1978		2989066	264			Passiflora serratifolia	Tamaulipas	"Plants in shade to partial sun. Fruits green and immature but eaten locally when yellow and ripe. Local name is, ""mapola."""				"Gomez Farias, off main road 3 kilometers below city plaza. Forest/field ecotones and secondary forest in hills on west side of road, overlooking coastal plain."			"MacDougal, J.M."			
47	2647854	1193549	Guatemala	1/20/1969		2707709	108			Passiflora serratifolia	Peten					"En la cueva de Jabitzinaj, Bosque Bajo, en Sta. Elena"			"Ortiz, Rolando Tun"			
48	2647864	1193550	Mexico	8/28/1963		2434562	85			Passiflora serratifolia	Veracruz-Llave			1100 ft.		Catemaco			"Ross, G. N."			
49	2647874	1193551	Mexico	3/30/1961		2365208	4410			Passiflora serratifolia	San Luis Potosi					Mountains along the gravel road to Jalpan circa two kilometers northeast of Xilitla.			"King, Robert Merrill"			
50	2647884	1193552	Honduras	1889-04		1360094	5243			Passiflora serratifolia	Cortes			1000 ft.		"San Pedro Sula, Department Santa Barbara"			"Theime, C."			
51	2647894	1193553	Honduras	1927-12-14/1928-03-15		1406071	54764			Passiflora serratifolia	Atlantida	date confirmed in high res. image		sea level		Vicinity of Tela			"Standley, Paul C."			
52	2647904	1193554	Honduras	1927-12-06/1928-03-30		1406067	54374			Passiflora serratifolia	Atlántida			20 to 600 meters		"Wet thicket, small herbaceous vine. Lancetilla Valley, near Tela, Department of Atlantida."			"Standley, Paul C."			
53	2647914	1193555	Mexico	1888-05-14		1360092	129			Passiflora serratifolia	Tabasco					Matorrales del camino de San Bautista a Atasta (Tabasco)			"Rovirosa, J. N."			
54	2647924	1193556	Mexico	3/24/1911		1205822	5493			Passiflora serratifolia	Chiapas					Ruinas de Palenque			"Harms, H."			
55	2647934	1193557	Belize	1928		1496373	6			Passiflora serratifolia	Orange Walk					Vicinity of Tower Hill			"Karling, J. S."			
56	2647944	1193558	Belize	3/2/1938		1807894	2270			Passiflora serratifolia	Cayo					El Cayo District: Vaca			"Gentle, Percy H."			
57	2647954	1193559	Guatemala	11/25/1919		1014680	59			Passiflora serratifolia	Alta Verapaz			1200 ft.		Finca Mocca			"Johnson, Harry"			
58	2647964	1193560	Guatemala	4/6/1905		860622	267			Passiflora serratifolia	Alta Verapaz	USNM Number--it looks like it was altered.	? USNM poor hand amendment\n			"Semococh, Alta Verapaz"			"Goll, George P."			
59	2647974	1193561	Guatemala	8/1/1920		1081428	563			Passiflora serratifolia		"I was not able to identify ""Xalaoc"" in geonames.org or Google."		2000 ft.		Xalaoc			"Johnson, Harry"			
60	2647984	1193562	Mexico			1012912	4119			Passiflora serratifolia		no State/Territory	No date or location details.\nEx. E. Mus. Bot. Hauniensi\n\n						Liebmann			
61	2647994	1193563	Mexico	1924-08		1207458	s.n.			Passiflora serratifolia	Veracruz	Zacapuam was the hacienda belonging to Florentin Sartorius in Veracruz where Purpus lived in Mexico				Zacuapam			"Purpus, C. A."			
62	2648004	1193564	Mexico	1898-01-31		324800	36			Passiflora serratifolia	Puebla			500 ft.		Near Metlaltoyuca			"Goldman, E. A."			
63	2648014	1193565	Mexico	184-04		573084	3673			Passiflora serratifolia	Oaxaca		? Year.  year not competely recorded.  Harvard specimens confirmed Galeotti in Oxaca april of 1940	4000 ft.					"Galeotti, H."			
64	2648024	1193566	Mexico	4/21/1946		1946765	46272			Passiflora serratifolia	San Luis Potosí			2700 ft.		"Along trail South and above Xilitla, San Luis Potosi"			"Sharp, A. J."			
65	2648034	1193567	Mexico	1936-06		1822500	16675			Passiflora serratifolia	Veracruz-Llave					"Zacuapan, Vera Cruz"			"Purpus, C. A."			
66	2648044	1193568	Mexico	1936-06/1936-07		1822510	16714			Passiflora serratifolia		no state	no location details						"Purpus, C. A."			
67	2648054	1193569	Honduras	7/16/1938		1747861	8513			Passiflora serratifolia	Atlantida					Foothills back of La Ceiba			"Yuncker, T. G. and Koepper, J. M. and Wagner, K. A."			
68	2648064	1193570	Mexico	1940-07/1941-02		1843078	8			Passiflora serratifolia	Oaxaca			20 m.		"District of Tuxtepec, Chiltepec and vicinity."			"Martinez-Calderon, G."			
69	2648074	1193571	Guatemala	4/6/1905		860623	267			Passiflora serratifolia	Alta Verapaz					Semacoch			"Goll, George P."			
70	2648084	1193572	Costa Rica	1/27/1926		1252084	49091			Passiflora serratifolia	Guanacaste			650 meters		"Quebrada Grande, southeast of Tilaran, Provincia de Guanacaste"			"Standley, Paul C."			
71	2648094	1193573	Costa Rica	1895-02		1360093	9190			Passiflora serratifolia	Limon			100 m.		Talamanca			"Tonduz, A. V."			
72	2648104	1193574	Honduras	1889-04		246565	5243			Passiflora serratifolia	Santa Barbara			1000 ft.		"San Pedro Sula, Depart. Santa Barbara, Honduras"			"Thieme, C."			
73	2648114	1193575	Costa Rica	1895-02		none on sheet	9328			Passiflora serratifolia	Limon	No USNM number	No USNM on the sheet	100 m.		"Shiroles, Talamanca"			"Tonduz, A. V."			
74	2648124	1193576	Costa Rica	1895-02		471920	9328			Passiflora serratifolia	Limon			100 m.		Talamanca			"Tonduz, A. V."			
75	2648134	1193577	Mexico	3/9/1930		1034388	523			Passiflora serratifolia	Veracruz-Llave					Santa Lucrecia			"Mell, C. D."			
76	2648144	1193578	Belize	1931/1932		1587785	427			Passiflora serratifolia	Corozal					Corozal District			"Gentle, Percy H."			
77	2648154	1193579	Belize	5/6/1931		1492647	13038			Passiflora serratifolia	Cayo					San Antonio			"Bartlett, H. H."			
78	2648164	1193580	Belize	6/15/1933		1586277	3931			Passiflora serratifolia	Cayo					"Little Cocquericot, Belize River"			"Lundell, C.L."			
79	2648174	1193581	Belize	5/2/1931		1492645	13004			Passiflora serratifolia	Cayo					"British Honduras, El Cayo District"			"Bartlett, H.H."			
80	2648184	1193582	Belize	3/24/1931		1492619	12082			Passiflora serratifolia	Cayo								"Bartlett, H. H."			
81	2648194	1193583	Mexico			1482977	4119			Passiflora serratifolia		"Label is damaged, torn, incomplete.\n\nVarious ""Luna"" localities in Mexico.  Unable to determine State."				Luna			Liebmann Pl. Mex.			
82	2648204	1193584	Belize	6/9/1933		1586287	4111			Passiflora serratifolia			Jones Bank is a settlement on Belize River (Google)			"Belize River, Jones Bank"			"Lundell, C. L."			
83	2648214	1193585	Belize	6/15/1933		1586278	3932			Passiflora serratifolia	Cayo					"Little Cocquericot, Belize River"			"Lundell, C. L."			
84	2648224	1193586	Guatemala	4/25/1905		472829	174			Passiflora serratifolia	Alta Verapaz			450 m		Vicinity of Secanquim			"Pittier, H."			
85	2648234	1193587	Mexico	1888-03-14		42881	129			Passiflora serratifolia	Tabasco					Del camino de San Juan Bautista a Atasta			"Rovirosa, J. N."			
86	2648244	1193588	Costa Rica	9/20/1924		1208815	80			Passiflora suberosa	Cartago			1400 m.		Guarco-Cartago			"Rojas, Ruben Torres"			
87	2648254	1193589	Mexico	9/1/1934		1924593	6533			Passiflora suberosa	Mexico					"Villaneda, Temascaltepec"			"Hinton, George B."			
88	2648264	1193590	Mexico	9/5/1933		1844771	4700			Passiflora suberosa	Mexico					"Nanchititla, Temascaltepec"			"Hinton, George B."			
89	2648274	1193591	Mexico	1841-08		1167406	65			Passiflora suberosa		\nUnable to determine state/terr.	"? collector ex Herb. Hort. Bot. Hafn, or Liebmann?\nLiebm. Pl. Mex. nr. 4128 Mirador"	4128					Mirador			
90	2648284	1193592	Mexico	1922-11		1268999	4574			Passiflora suberosa	Jalisco			1400 m		"Barranca Ibarra, Guadalajara"			"Reko, B. P."			
91	2648294	1193593	Mexico	7/17/1985		3334996	9262			Passiflora suberosa	Oaxaca			2100 m.s.n.m.		"Mesa del Calvario, Cerro de El Ramon, NE de el Rodeo Mpio. Tepelmeme\nDistritio de Coixtlahuaca."			"Tenorio, P. L."	"Romero, C. de T."	"Martinez, Eustolio C."	
92	2648304	1193594	Costa Rica	1896-11		1419083	10903			Passiflora suberosa	Cartago			1532 m.		Haies a Ochomogo			"Tonduz, A. V."			
93	2648314	1193595	Guatemala	8/15/1942		1894151	50611			Passiflora suberosa	Huehuetenango			1600-2800 m.		"Dept. Huehuetenango: Cerro Pixpix, above San Ildefonso Ixtahuacan"			"Steyermark, Julian A."			
94	2648324	1193596	Mexico	1908-07		841193	3544			Passiflora suberosa	Puebla	"San Luis Tultitlanapa is now named San Luis Atolotitlan, near the Puebla/Oaxaca border. \n"				"Vicinity of San Luis Tultitlanapa [San Luis Atolotitlan], Puebla, near Oaxaca"			"Purpus, C. A."			
95	2648334	1193597	Mexico	1908-07		841192	3543			Passiflora suberosa	Puebla					"Vicinity of San Luis Tultitlanapa, [San Luis Atolotitlan] Puebla near Oaxaca"			"Purpus, C. A."			
96	2648344	1193598	Guatemala	11/26/1938		1749609	57884			Passiflora suberosa	Chimaltenango			1500-1900 m.		Along road from Chimaltenango to San Martin Jilotepeque.			"Standley, Paul C."			
97	2648354	1193599	Mexico	1936-05		1746048	1425			Passiflora suberosa	Morelos					Xochitepec			"Lyonnet, E."			
98	2648364	1193600	Mexico	8/26/1954		2189381	31332			Passiflora suberosa	Mexico			1100 m.		"Cerro de los Capulines, Palmar Chico"			"Matuda, E."			
99	2648374	1193601	Costa Rica	1925-12-07/1925-12-08		1251974	41490			Passiflora suberosa	Cartago			1200-1300 meters		Vicinity of Finca Las Concavas			"Standley, Paul C."			
100	2648384	1193602	Guatemala	12/28/1938		1749613	61188			Passiflora suberosa	Sacatepéquez			1950-2040 m.		"Finca El Hato, northeast of Antigua, Dept. Sacatapequez"			"Standley, Paul C."			
101	2648394	1193603	Guatemala	1892		207150	3777			Passiflora suberosa	Jalapa			8000 pp		Laguna de Ayarza			"Smith, John Donnell"			
102	2648404	1193604	Mexico	8/21/1935		1642100	19896			Passiflora suberosa	Jalisco			1400 m		"Barrancas, West of La Quemada, Pacific Slope. Rocks, open mountain slope."			"Pennell, Francis W."			
103	2648414	1193605	Guatemala	6/5/1909		1360116	6193			Passiflora suberosa	Guatemala			3700 ft.		Fiscal			"Deam, Charles C."			
104	2648424	1193606	Mexico	1899-07-05/1899-07-06		346739	4748			Passiflora suberosa	Jalisco					Near Tequila			"Rose, J. N."			
105	2648434	1193607	Mexico	9/20/1939		2086737	6035			Passiflora suberosa	Chihuahua					Maguarichie [Maguarichi]\n			"Knobloch, Irving"			
106	2648444	1193608	Guatemala	11/26/1938		1749608	57852			Passiflora suberosa	Chimaltenango			1500-1900 m.		Along road from Chimaltenango to San Martin Jilotepeque.			"Standley, Paul C."			
107	2648454	1193609	Mexico	11/26/1938		1924621	13492			Passiflora suberosa	Michoacan			1600 m		"Zitacuaro-Salto de Enandio, District Zitacuaro"			"Hinton, George B."	et al.		
108	2648464	1193610	Mexico	1905-08-30/1905-09-08		453452	9957			Passiflora suberosa	Puebla					Near Tehuacan			"Rose, J.N."			
109	2648474	1193611	Mexico	1901-08-01/1901-08-02		395625	5838			Passiflora suberosa	Puebla					Collected near Tehuacan			"Rose, J. N."			
110	2648484	1193612	Mexico	10/21/1925		1269071	5598			Passiflora suberosa	Nayarit		Editing mark on collector number requires change of order of last 2 digits.			"Maria Madre, Tres Marias Islands, low bluff above beach south of Penal Colony"			"Ferris, Roxana S."			
111	2648494	1193613	Mexico	12/8/1933		1589181	4519			Passiflora suberosa	Mexico					District of Temascaltepec: Nanchititla			"Hinton, George B."			
112	2648504	1193614	Mexico	9/28/1903		450984	7395			Passiflora suberosa	Jalisco					Near Guadalajara			"Rose, J. N."			
113	2648514	1193615	Mexico	1897-08-15		302481	3504			Passiflora suberosa	Durango					Sierra Madre			"Rose, J. N."			
114	2648524	1193616	Mexico	1897-09-15/1897-09-17		301899	2946			Passiflora suberosa	Jalisco					"Sierra Madre, West of Bolanos"			"Rose, J. N."			
115	2648534	1193617	Mexico	10/28/1935		1924602	8607			Passiflora suberosa	Mexico					"Pantoja, Tomascaltepec"			"Hinton, George B."			
116	2648544	1193618	Costa Rica	1924-02		1226096	33363			Passiflora suberosa	Cartago			ca. 1425 m.		Vicinity of Cartago			"Standley, Paul C."			
117	2648554	1193619	Guatemala	1802-09-M		1360113	3777			Passiflora suberosa	Jalapa			8000 pp.		Laguna de Ayarza			"Smith, John Donnell"			
118	2648564	1193620	Mexico	7/16/1966		2798352	JSOX-9			Passiflora suberosa	Oaxaca				16°55' N	Oaxaca: Aroyo below Cueva Blanca		96°25' W	"Schoenwetter, James"			
119	2648574	1193621	Mexico	1894-10/1895-03		252829	409b			Passiflora suberosa	Guerrero					Acapulco and vicinity.			"Palmer, Edward"			
120	2648584	1193622	Mexico	7/20/1985		3334997	9383			Passiflora suberosa	Oaxaca			2260 m.s.n.m.		"Cerro Cedro, al W de El Enebro"			"Tenorio L., P."	"Romero de T., C."	"C., Eustolio Martinez"	
121	2648594	1193623	Mexico	1906-09		840214	2067			Passiflora suberosa	Mexico	Zacuapan is located in State of Mexico (GeoNames).				"Zacuapan and vicinity, State of Vera Cruz"			"Purpus, C. A."			
122	2648604	1193624	Mexico	8/29/1935		1924600	8233			Passiflora subpeltata	Mexico					"Nanchititla, Tamascaltepec District."			"Hinton, George B."			
123	2648614	1193625	Panama	1/21/1924		1225463	32051			Passiflora subpeltata	Panama					Between Matias Hernandez and Juan Diaz			"Standley, Paul C."			
124	2648624	1193626	Mexico	8/21/1938		2217706	2313			Passiflora subpeltata	Distrito Federal					Pedregal			"Lyonnet, E."			
125	2648634	1193627	Mexico			781416	1594			Passiflora subpeltata		Mirador - determined from high res image. Many places with this name in Mexico.\n\nNo date. \nEx Herb Charles Mohr				Mirador			"Sartorius, C."			
126	2648644	1193628	Mexico	1895-11-14		254320	6181			Passiflora subpeltata	Morelos			"5,000 ft."		Near Cuernavaca.			"Pringle, C. G."			
127	2648654	1193629	Panama	5/28/1923		1180236	6574			Passiflora subpeltata	Panama					"Chivi-Chivi Trail, 2 miles above Red Tank, Canal Zone"			"Maxon, William R."	"Harvey, Alfred D."		
128	2648664	1193630	Mexico	7/9/1978		2989074	283			Passiflora subpeltata	Hidalgo			5000 ft		"Cuesta Colorada on Route 85, 7 miles N of Jacala."			"MacDougal, J. M."			
129	2648674	1193631	Mexico	8/14/1965		2485981	11754			Passiflora subpeltata	Chiapas			4500 feet		Shrubby slope along Mexican Highway 190 in paraje Granadilla. Municipio of Zinacantan.			"Breedlove, D. E."			
130	2648684	1193632	Mexico	7/23/1965		2485965	11298			Passiflora subpeltata	Chiapas			5900 feet		"Southeast city limits of Teopisca, Municipio of Teopisca."			"Breedlove, D. E."			
131	2648694	1193633	Mexico	1/22/1938		1924619	13051			Passiflora subpeltata	Michoacán					Zitacuaro district: Zitacuaro - San Jose purua. Edge of banana orchard.			"Hinton, George B."			
132	2648704	1193634	Mexico	4/20/1935		1924596	7638			Passiflora subpeltata	Mexico					"Ocotepec, Temascaltepec, Mex., Mexico"			"Hinton, George B."			
133	2648714	1193635	Mexico	6/22/1935		1924598	7913			Passiflora subpeltata	Mexico					"Tejupilco, Temascaltepec, Mexico."			"Hinton, George B."			
134	2648724	1193636	Guatemala	8/14/1942		1894150	50541			Passiflora subpeltata	Huehuetenango			"1,900-2,000 meters"		along road between San Sebastian H. and San Rafael Petzal.			"Steyermark, Julian A."			
135	2648734	1193637	Guatemala	11/16/1940		1894026	77446			Passiflora subpeltata	Departamento de Jalapa			about 1650 m.		"Damp oak forest. Small vine. Mountains about Chahuite, northwest of Jalapa"			"Standley, Paul C."			
136	2648744	1193638	Mexico	3/31/1932		1840055	470			Passiflora subpeltata	Mexico	Tempincla not identified.	"Missouri Botanical Garden Catalog includes the following\n\nCatalog #: 2862686 \nOccurrence ID (GUID): MO:Tropicos:2862686 \nTaxon: Eugenia crenularis Lundell \nFamily: Myrtaceae \nDeterminer: F.R. Barrie, \nCollector:George B. Hinton 359    \nDate: 03 Ju"			"Tempincla, Temascaltepec"			"Hinton, George B."			
137	2648754	1193639	Mexico	5/18/1932		1844321	655			Passiflora subpeltata	Mexico			2785 m.		"La Cumbre, Temascaltepec"			"Hinton, George B."			
138	2648764	1193640	Mexico	1932-09		1643189	1010			Passiflora subpeltata	Federal District	Pedregal de San Angel Distrito Federal is a neighborhood of Mexico City.				Pedregal de San Angel			"Lyonnet, E."			
139	2648774	1193641	Panama	12/27/1937		1689100	45			Passiflora subpeltata	Panama					"Canal Zone, vicinity of Miraflores"			"White, Peggy"	"White, Gene"		
140	2648784	1193642	Mexico			1687713	4464			Passiflora subpeltata		"no collector, date or location information."				(Ex. Madrid)			Sesse	Mocino		
141	2648794	1193643	Guatemala	1882-09-06		941582	1566			Passiflora subpeltata	Huehuetenango			1600 m		Bei Huehuetenango			"Lehmann, F. C."			
142	2648804	1193644	Panama	1923-12		1225433	27971			Passiflora subpeltata	Panamá					Brushy slope; Taboga Island.			"Standley, Paul C."			
143	2648814	1193645	Panama	5/28/1923		1180235	6574			Passiflora subpeltata	Panama	date from high res. image.\nRed Tank in Panama Prov (GeoNames).				"Chivi-Chivi Trail, 2 miles above Red Tank, Canal Zone."			"Maxon, William R."			
144	2648824	1193646	Mexico	1918-07		887701	17			Passiflora subpeltata	Oaxaca					Oaxaca			"Reko, B. P."			
145	2648834	1193647	Mexico	6/7/1911		1030467	5926			Passiflora subpeltata	Michoacan			1950 m.		"Lorna Santa Maria\nVicinity of Morelia, State of Michoacan"			"Arsene, Bro. G."			
146	2648844	1193648	Panama	5/28/1923		1180237	6597			Passiflora subpeltata	Panamá					"Chivi Chivi Trail, 2 miles about Red Tank, Canal Zone."			"Maxon, William R."			
147	2648854	1193649	Guatemala	1890-02		1336714	1919			Passiflora subpeltata	Guatemala			3900 ft.		"Laguna Amatitlan, Depart. Amatitlan"			"Smith, John Donnell"			
148	2648864	1193650	Mexico			1209466	10362			Passiflora subpeltata	Chihuahua	No date				"Rio de Puerto, Moneda"			"Purpus, C. A."			
149	2648874	1193651	Mexico	10/25/1910		1030464	5563			Passiflora subpeltata						Puente de Mexico			"Arsene, Bro. G."			
150	2648884	1193652	United States	1928		1344238	s.n.			Passiflora subpeltata	California	Cultivated	Cultivated. \nApparently from material originating from Mexico.			"Grown at Pacific Beach, Calif."			"Kunim, H. K. W."			
151	2648894	1193653	Mexico	1930-09-25/1930-09-26		1567614	226			Passiflora subpeltata	Oaxaca					Oaxaca			"Russell, Paul G."	"Souviron, Max J."		
152	2648904	1193654	Panama	1934		1639101	445			Passiflora subpeltata	Panama					Sabanas north of Panama City			"Paul, Brother"			
153	2648914	1193655	Panama	1/30/2007		3555457	103			Passiflora vitifolia	Panama				8°59' N	"Distrito de Panama\nParque Natural Metropolitano, alrededores de la grua de STRI"		79°32' W	"Carranza, Reyes"	"Hernandez, F."	"Galdames, C."	"Toribio, N. K."
154	2648924	1193656	Panama	4/7/1946		2087073	3431			Passiflora vitifolia	Colon	"Pina in Colon, unable to confirm ""Camp Pina""\n"		0-50 m.		Vicinity of Camp Pina			"Allen, Paul H."			
155	2648934	1193657	Panama	1/9/1924		1225446	30225			Passiflora vitifolia	Colon					"Between France Field, Canal Zone and Catival"			"Standley, Paul C."			
156	2648944	1193658	Panama	1923-06-1/1923-06-03		1180240	6695			Passiflora vitifolia	Panama					"Near Tapla River, Juan Diaz region"			"Maxon, William R."			
